sales_id,sales_date,product_name,quantity,price,product_id
16,2026-02-01,Laptop,1,55000,101
17,2026-02-03,Mouse,4,500,102
18,2026-02-05,Keyboard,2,1200,103
19,2026-02-06,Monitor,1,15000,104
20,2026-02-08,Headphones,3,2500,105
21,2026-02-10,Printer,1,9000,106
22,2026-02-12,Webcam,2,2000,107
23,2026-02-14,SSD,3,4500,108
24,2026-02-16,Router,2,3000,109
25,2026-02-18,Tablet,1,22000,110
26,2026-02-20,Smartwatch,1,8000,111
27,2026-02-22,USB Drive,5,800,112
28,2026-02-24,External HDD,2,6000,113
29,2026-02-26,Speaker,3,3500,114
30,2026-02-28,Charger,4,700,115
