emp_id,age,gender,experience_years,joining_date,employment_type
E101,26,Male,3,2022-06-15,Full-Time
E102,29,Female,5,2020-03-10,Full-Time
E103,31,Male,7,2018-09-25,Full-Time
E104,34,Female,10,2015-11-12,Full-Time
E105,25,Male,2,2023-01-05,Contract
E106,28,Female,4,2021-07-18,Full-Time
E107,36,Male,12,2013-04-22,Full-Time
E108,30,Female,6,2019-12-01,Full-Time
E109,33,Male,9,2016-08-30,Full-Time
E110,27,Female,3,2022-02-14,Contract
E111,35,Male,11,2014-05-19,Full-Time
E112,32,Female,8,2017-10-11,Full-Time
E113,38,Male,14,2011-06-27,Full-Time
E114,29,Female,5,2020-09-03,Full-Time
E115,31,Male,7,2018-03-21,Full-Time
E116,37,Female,13,2012-12-12,Full-Time
E117,26,Male,2,2023-04-01,Contract
E118,33,Female,9,2016-01-17,Full-Time
E119,28,Male,4,2021-08-09,Full-Time
E120,27,Female,3,2022-10-05,Full-Time
E121,40,Male,15,2010-07-07,Full-Time
E122,24,Female,1,2024-01-10,Intern
E123,45,Male,20,2005-03-03,Full-Time
E124,39,Female,16,2009-11-23,Full-Time
E125,28,Male,5,2020-06-16,Contract
