sales_id,sales_date,product_name,quantity,price,product_id
1,2026-01-02,Laptop,2,55000,101
2,2026-01-04,Mouse,5,500,102
3,2026-01-05,Keyboard,3,1200,103
4,2026-01-07,Monitor,2,15000,104
5,2026-01-08,Headphones,4,2500,105
6,2026-01-10,Printer,1,9000,106
7,2026-01-12,Webcam,3,2000,107
8,2026-01-15,SSD,2,4500,108
9,2026-01-18,Router,3,3000,109
10,2026-01-20,Tablet,1,22000,110
11,2026-01-22,Smartwatch,2,8000,111
12,2026-01-24,USB Drive,6,800,112
13,2026-01-26,External HDD,2,6000,113
14,2026-01-28,Speaker,3,3500,114
15,2026-01-30,Charger,5,700,115
